,product_price,shipping_cost,assembly_cost,delivery_window_days,customer_rating,product_category,product_subcategory,brand,assembly_service_requested,payment_method,payment_timing,delivery_status
251,858.23,0.0,30.34,2.0,3.1,Outdoor,Seating,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
926,1248.89,112.05,178.19,5.0,3.7,Bedroom,Storage,Affordable,True,Card,Prepaid,Failed Delivery
810,1148.16,65.35,0.0,7.0,3.1,Outdoor,Patio furniture,Affordable,False,Card,Prepaid,On Going
138,630.6,0.0,0.0,4.0,1.7,Outdoor,Seating,Mid Range,False,Digital Wallet,Prepaid,On Going
1512,2393.55,142.58,33.15,3.0,4.8,Bedroom,Sleeping,Mid Range,True,Bank Transfer,Prepaid,On Going
1470,1281.92,73.85,261.14,8.0,1.7,Living Room,Seating,Premium,True,Card,Prepaid,On Going
388,1114.83,0.0,0.0,4.0,2.9,Kitchen,Storage,Affordable,False,Digital Wallet,Prepaid,Delivered
367,1481.73,80.47,0.0,4.0,3.6,Kitchen,Storage,Affordable,False,Card,Prepaid,On Going
101,234.18,84.25,0.0,5.0,3.1,Living Room,Table,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1130,313.98,87.12,30.63,7.0,4.4,Kitchen,Storage,Mid Range,True,Cash,Postpaid,Failed Delivery
1338,2497.02,0.0,0.0,6.0,2.8,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
835,1718.99,78.53,0.0,10.0,3.1,Living Room,Seating,Premium,False,Digital Wallet,Prepaid,Delivered
1395,2401.45,0.0,0.0,5.0,4.0,Living Room,Seating,Mid Range,False,Cash,Postpaid,Failed Delivery
1473,1495.73,90.84,0.0,4.0,2.8,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,On Going
618,804.88,134.28,39.27,9.0,3.1,Outdoor,Patio furniture,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
568,966.26,0.0,118.23,3.0,3.8,Dining Room,Seating,Mid Range,True,Card,Prepaid,On Going
1876,223.8,25.67,0.0,5.0,4.4,Outdoor,Patio furniture,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
788,2078.58,0.0,108.77,2.0,3.4,Kitchen,Storage,Mid Range,True,Card,Prepaid,Failed Delivery
1710,2030.11,92.81,0.0,2.0,3.1,Bedroom,Storage,Mid Range,False,Digital Wallet,Prepaid,Delivered
1582,1235.33,0.0,0.0,5.0,4.5,Kitchen,Table,Premium,False,Card,Prepaid,Failed Delivery
827,1359.42,0.0,293.95,5.0,3.1,Office,Storage,Premium,True,Digital Wallet,Prepaid,Failed Delivery
113,1109.11,50.77,0.0,4.0,4.1,Living Room,Table,Affordable,False,Card,Prepaid,Delivered
220,767.61,0.0,0.0,4.0,3.0,Office,Storage,Mid Range,False,Digital Wallet,Prepaid,On Going
223,1746.81,82.59,0.0,14.0,2.5,Outdoor,Seating,Mid Range,False,Digital Wallet,Prepaid,On Going
920,321.67,39.34,0.0,14.0,5.0,Office,Work,Affordable,False,Digital Wallet,Prepaid,On Going
468,1580.3,0.0,44.06,10.0,3.4,Dining Room,Seating,Mid Range,True,Digital Wallet,Prepaid,On Going
1739,636.58,58.97,0.0,8.0,1.3,Kitchen,Table,Affordable,False,Card,Prepaid,On Going
474,463.25,57.97,0.0,13.0,2.8,Outdoor,Patio furniture,Affordable,False,Digital Wallet,Prepaid,Delivered
1235,1839.93,57.58,175.63,4.0,3.5,Kitchen,Table,Affordable,True,Digital Wallet,Prepaid,Delivered
818,1446.28,100.87,224.67,11.0,4.6,Office,Work,Affordable,True,Digital Wallet,Prepaid,On Going
638,1437.34,66.5,0.0,13.0,3.2,Kitchen,Storage,Mid Range,False,Cash,Postpaid,Failed Delivery
646,998.98,65.41,0.0,8.0,3.9,Office,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
862,319.8,51.2,146.04,14.0,4.9,Bedroom,Sleeping,Affordable,True,Card,Prepaid,On Going
1656,1422.26,89.52,70.95,13.0,4.2,Outdoor,Patio furniture,Affordable,True,Digital Wallet,Prepaid,On Going
242,682.72,118.91,0.0,3.0,4.1,Living Room,Table,Mid Range,False,Digital Wallet,Prepaid,On Going
283,1407.99,67.37,180.62,12.0,3.4,Office,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
983,2361.89,125.45,0.0,14.0,4.2,Kitchen,Storage,Mid Range,False,Cash,Postpaid,On Going
655,1583.49,110.19,0.0,5.0,4.9,Outdoor,Seating,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
586,1584.64,129.51,219.07,2.0,3.1,Bedroom,Sleeping,Premium,True,Digital Wallet,Prepaid,On Going
1870,1164.68,112.53,197.96,5.0,3.0,Kitchen,Table,Affordable,True,Card,Prepaid,Failed Delivery
1805,293.09,77.61,43.53,7.0,3.1,Dining Room,Seating,Premium,True,Cash,Postpaid,On Going
108,1455.13,85.16,82.84,4.0,2.4,Office,Work,Premium,True,Card,Prepaid,Delivered
1632,872.45,138.13,187.14,3.0,1.2,Outdoor,Table,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1862,175.4,50.67,175.53,3.0,4.7,Outdoor,Seating,Mid Range,True,Card,Prepaid,Failed Delivery
1307,1854.67,83.74,0.0,6.0,2.9,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1172,1029.17,142.13,161.34,2.0,1.9,Outdoor,Table,Affordable,True,Digital Wallet,Prepaid,On Going
1145,864.41,80.11,0.0,11.0,3.1,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,On Going
554,2037.0,111.15,54.32,14.0,4.4,Kitchen,Table,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1757,1418.86,83.06,0.0,8.0,3.1,Kitchen,Storage,Affordable,False,Cash,Postpaid,On Going
515,1299.67,132.01,0.0,6.0,2.7,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1889,1915.87,123.05,0.0,5.0,1.2,Dining Room,Seating,Affordable,False,Card,Prepaid,Failed Delivery
1515,1366.24,71.89,0.0,5.0,1.1,Outdoor,Seating,Affordable,False,Cash,Postpaid,Delivered
729,2700.42,73.44,142.5,7.0,4.7,Bedroom,Sleeping,Affordable,True,Digital Wallet,Prepaid,Delivered
51,244.58,65.46,0.0,4.0,4.1,Living Room,Seating,Mid Range,False,Cash,Postpaid,On Going
762,535.12,84.27,47.67,11.0,4.2,Dining Room,Table,Affordable,True,Card,Prepaid,Failed Delivery
750,381.42,86.53,91.92,10.0,3.1,Outdoor,Seating,Affordable,True,Digital Wallet,Prepaid,On Going
1231,222.18,26.01,0.0,14.0,1.3,Living Room,Seating,Affordable,False,Cash,Postpaid,Failed Delivery
187,1842.76,0.0,58.23,14.0,1.5,Dining Room,Table,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
776,476.73,38.65,235.06,4.0,1.2,Outdoor,Seating,Premium,True,Digital Wallet,Prepaid,On Going
589,243.25,61.32,0.0,1.0,1.1,Living Room,Seating,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1600,547.52,64.71,0.0,9.0,2.0,Outdoor,Table,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1466,1396.58,70.49,26.96,3.0,3.1,Office,Work,Mid Range,True,Cash,Postpaid,On Going
261,1608.28,0.0,25.32,3.0,1.7,Living Room,Seating,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
522,1750.14,67.54,177.12,9.0,2.4,Kitchen,Table,Mid Range,True,Digital Wallet,Prepaid,On Going
1266,2132.45,138.67,0.0,6.0,3.6,Kitchen,Storage,Mid Range,False,Cash,Postpaid,Failed Delivery
218,527.24,0.0,186.37,1.0,2.6,Kitchen,Storage,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
706,1786.72,103.29,0.0,11.0,2.8,Outdoor,Patio furniture,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
360,1370.97,0.0,151.39,2.0,4.8,Kitchen,Storage,Premium,True,Card,Prepaid,Failed Delivery
648,2065.29,93.41,0.0,2.0,3.1,Living Room,Seating,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
543,1007.5,71.32,66.78,2.0,4.0,Kitchen,Table,Premium,True,Digital Wallet,Prepaid,Failed Delivery
884,752.75,0.0,0.0,5.0,1.7,Bedroom,Sleeping,Premium,False,Digital Wallet,Prepaid,On Going
392,1723.5,67.87,0.0,5.0,3.3,Bedroom,Sleeping,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
1118,494.2,78.75,0.0,14.0,2.3,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,Delivered
1263,1807.3,73.85,76.81,11.0,2.1,Dining Room,Storage,Premium,True,Digital Wallet,Prepaid,Delivered
370,1624.89,81.78,0.0,6.0,2.2,Living Room,Storage,Mid Range,False,Digital Wallet,Prepaid,On Going
471,1400.33,0.0,0.0,14.0,3.8,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
1046,1850.97,53.35,0.0,11.0,1.2,Dining Room,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1479,2549.03,121.92,0.0,9.0,3.6,Bedroom,Storage,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
59,488.35,79.01,0.0,9.0,3.8,Kitchen,Table,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1834,322.01,25.53,0.0,9.0,4.5,Bedroom,Storage,Affordable,False,Digital Wallet,Prepaid,On Going
1421,1466.08,106.3,172.39,5.0,5.0,Kitchen,Storage,Affordable,True,Card,Prepaid,Failed Delivery
1476,1761.12,51.48,0.0,9.0,4.7,Living Room,Seating,Mid Range,False,Digital Wallet,Prepaid,Delivered
186,1656.11,130.2,84.02,10.0,1.3,Outdoor,Patio furniture,Premium,True,Bank Transfer,Prepaid,Failed Delivery
803,1957.72,0.0,93.1,12.0,3.2,Kitchen,Table,Affordable,True,Card,Prepaid,On Going
1681,1661.63,73.85,0.0,13.0,3.3,Outdoor,Seating,Affordable,False,Bank Transfer,Prepaid,Delivered
155,1382.96,55.54,65.21,3.0,3.8,Bedroom,Sleeping,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1500,2462.94,77.96,0.0,12.0,4.9,Kitchen,Storage,Affordable,False,Cash,Postpaid,Failed Delivery
1023,205.73,81.24,0.0,11.0,4.3,Outdoor,Seating,Affordable,False,Card,Prepaid,On Going
998,1249.92,91.89,88.82,7.0,3.7,Dining Room,Storage,Mid Range,True,Cash,Postpaid,Delivered
914,503.13,0.0,0.0,12.0,4.5,Dining Room,Storage,Mid Range,False,Digital Wallet,Prepaid,On Going
58,2157.19,0.0,179.78,6.0,3.4,Living Room,Seating,Affordable,True,Card,Prepaid,Failed Delivery
1329,2255.34,114.74,0.0,13.0,3.9,Kitchen,Storage,Affordable,False,Cash,Postpaid,Failed Delivery
928,1861.16,0.0,0.0,4.0,3.0,Dining Room,Table,Premium,False,Card,Prepaid,Delivered
791,2087.95,0.0,0.0,3.0,4.4,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,On Going
1415,539.99,92.21,146.09,11.0,4.4,Living Room,Seating,Affordable,True,Cash,Postpaid,On Going
48,1469.78,98.82,0.0,7.0,2.6,Outdoor,Patio furniture,Mid Range,False,Cash,Postpaid,Failed Delivery
1350,388.95,73.85,0.0,2.0,3.1,Kitchen,Table,Mid Range,False,Card,Prepaid,On Going
723,211.25,88.22,45.79,3.0,4.1,Bedroom,Sleeping,Mid Range,True,Card,Prepaid,Delivered
809,1034.24,0.0,0.0,11.0,1.8,Outdoor,Seating,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
501,267.15,85.96,0.0,2.0,3.7,Office,Work,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1456,1673.71,0.0,0.0,13.0,3.7,Outdoor,Patio furniture,Mid Range,False,Cash,Postpaid,On Going
1327,1486.84,74.19,0.0,10.0,2.8,Bedroom,Sleeping,Premium,False,Bank Transfer,Prepaid,On Going
730,1928.73,0.0,0.0,4.0,2.9,Living Room,Table,Mid Range,False,Digital Wallet,Prepaid,Delivered
703,465.99,86.22,0.0,13.0,1.9,Outdoor,Table,Premium,False,Card,Prepaid,Delivered
1354,1341.63,91.8,166.63,4.0,1.6,Dining Room,Seating,Premium,True,Card,Prepaid,On Going
1076,846.98,0.0,86.34,11.0,4.6,Kitchen,Storage,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
1782,627.61,92.25,0.0,14.0,1.0,Office,Work,Premium,False,Card,Prepaid,Failed Delivery
509,493.93,71.17,0.0,4.0,4.5,Office,Work,Affordable,False,Cash,Postpaid,Failed Delivery
1516,1640.45,111.12,94.66,10.0,4.4,Dining Room,Storage,Premium,True,Card,Prepaid,On Going
1602,440.39,42.44,256.57,3.0,4.6,Office,Work,Affordable,True,Card,Prepaid,Failed Delivery
1571,931.13,0.0,127.36,13.0,2.6,Living Room,Seating,Mid Range,True,Cash,Postpaid,Failed Delivery
318,522.28,0.0,0.0,7.0,2.3,Dining Room,Table,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
62,1718.95,69.15,0.0,5.0,4.9,Outdoor,Patio furniture,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1120,747.22,54.6,0.0,12.0,3.8,Office,Work,Mid Range,False,Digital Wallet,Prepaid,Delivered
644,765.01,0.0,0.0,6.0,4.0,Kitchen,Table,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1637,1365.56,138.95,49.92,8.0,4.8,Dining Room,Table,Mid Range,True,Bank Transfer,Prepaid,Failed Delivery
352,791.66,129.68,0.0,12.0,4.7,Outdoor,Patio furniture,Affordable,False,Cash,Postpaid,Failed Delivery
900,1526.95,126.22,0.0,14.0,4.8,Living Room,Table,Mid Range,False,Card,Prepaid,On Going
753,1398.93,73.85,35.54,1.0,1.8,Office,Work,Mid Range,True,Card,Prepaid,On Going
614,1011.74,64.77,184.41,7.0,4.3,Outdoor,Patio furniture,Affordable,True,Card,Prepaid,Failed Delivery
527,1704.99,127.32,76.0,11.0,1.7,Living Room,Storage,Premium,True,Bank Transfer,Prepaid,On Going
1698,1443.75,121.91,0.0,14.0,3.6,Outdoor,Seating,Mid Range,False,Card,Prepaid,On Going
146,1059.47,54.24,0.0,10.0,2.1,Office,Work,Affordable,False,Bank Transfer,Prepaid,On Going
1244,1252.28,65.98,196.14,2.0,3.8,Kitchen,Storage,Affordable,True,Card,Prepaid,Delivered
530,2132.61,0.0,0.0,11.0,3.6,Bedroom,Sleeping,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
1836,1138.14,60.13,0.0,4.0,3.7,Bedroom,Storage,Affordable,False,Card,Prepaid,Failed Delivery
410,2091.22,73.85,0.0,14.0,1.6,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,On Going
1198,2765.11,65.59,0.0,7.0,3.8,Bedroom,Storage,Mid Range,True,Card,Prepaid,Delivered
49,1273.52,148.07,238.78,11.0,3.1,Office,Work,Mid Range,True,Card,Prepaid,Failed Delivery
919,1277.17,60.27,45.64,3.0,3.1,Office,Work,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
60,212.14,41.62,166.4,6.0,3.1,Office,Work,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1468,361.86,75.09,0.0,5.0,1.2,Bedroom,Sleeping,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1269,824.7,65.95,121.53,4.0,4.0,Dining Room,Storage,Affordable,True,Digital Wallet,Prepaid,On Going
117,648.64,0.0,0.0,12.0,2.3,Office,Work,Premium,False,Digital Wallet,Prepaid,On Going
1315,315.21,38.02,110.74,4.0,2.7,Office,Work,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1028,1973.77,97.68,133.24,13.0,1.3,Living Room,Seating,Premium,True,Card,Prepaid,On Going
1052,1084.21,61.63,86.48,3.0,3.5,Outdoor,Patio furniture,Affordable,True,Cash,Postpaid,On Going
808,786.42,140.37,0.0,8.0,3.1,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1383,565.26,139.5,33.35,3.0,3.3,Living Room,Storage,Mid Range,True,Cash,Postpaid,Failed Delivery
1281,1406.82,72.58,0.0,3.0,4.6,Dining Room,Storage,Mid Range,False,Card,Prepaid,Failed Delivery
686,1189.52,122.0,75.24,8.0,3.7,Office,Storage,Premium,True,Digital Wallet,Prepaid,Failed Delivery
149,1002.38,0.0,43.39,8.0,4.7,Office,Storage,Mid Range,True,Cash,Postpaid,Delivered
533,1655.81,60.33,39.28,5.0,1.1,Outdoor,Patio furniture,Premium,True,Bank Transfer,Prepaid,On Going
804,737.76,0.0,0.0,14.0,1.3,Bedroom,Storage,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
